accuracy,arm,nll,num_kv_pairs,qk_factor_norm,qk_gradient_norm,qk_initial_scale,relation,seed,sequence_length,step
0.0,independent,9.031396865844727,4,7.251949015440779,0.01168885076480201,1.0,independent,100,64,0
0.0,independent,9.032602310180664,16,7.251949015440779,,1.0,independent,100,256,0
0.02734375,independent,7.47066068649292,4,11.575415702259455,0.15579481143766044,1.0,independent,100,64,200
0.0068359375,independent,8.029886245727539,16,11.575415702259455,,1.0,independent,100,256,200
0.103515625,independent,6.709519386291504,4,13.786603757031003,0.2541515859778447,1.0,independent,100,64,400
0.01025390625,independent,7.858183860778809,16,13.786603757031003,,1.0,independent,100,256,400
0.095703125,independent,5.917241096496582,4,16.127349327517745,0.6814830718753723,1.0,independent,100,64,800
0.0107421875,independent,7.7105512619018555,16,16.127349327517745,,1.0,independent,100,256,800
0.8203125,independent,1.2907371520996094,4,19.07955639817326,3.7820240230266076,1.0,independent,100,64,1600
0.61572265625,independent,2.5791921615600586,16,19.07955639817326,,1.0,independent,100,256,1600
0.943359375,independent,0.4897919297218323,4,23.696391548015292,2.3559958382777273,1.0,independent,100,64,3200
0.9111328125,independent,0.5650707483291626,16,23.696391548015292,,1.0,independent,100,256,3200
0.98828125,independent,0.10162524878978729,4,26.264145373185816,0.526668909676719,1.0,independent,100,64,6400
0.97998046875,independent,0.11040855944156647,16,26.264145373185816,,1.0,independent,100,256,6400
0.91162109375,independent,0.8463854193687439,16,26.264145373185816,,1.0,independent,100,512,6400
0.413818359375,independent,7.2486572265625,32,26.264145373185816,,1.0,independent,100,1024,6400
0.0,independent,9.048150062561035,4,7.2352528379349135,0.011175514665648291,1.0,independent,101,64,0
0.0,independent,9.041667938232422,16,7.2352528379349135,,1.0,independent,101,256,0
0.044921875,independent,7.439760684967041,4,11.492408112379954,0.11139845880715336,1.0,independent,101,64,200
0.0048828125,independent,8.058761596679688,16,11.492408112379954,,1.0,independent,101,256,200
0.080078125,independent,6.653864860534668,4,14.00911892502237,0.30416593027808886,1.0,independent,101,64,400
0.0078125,independent,7.772586822509766,16,14.00911892502237,,1.0,independent,101,256,400
0.142578125,independent,5.717676639556885,4,16.741589555551695,1.1681472835427353,1.0,independent,101,64,800
0.02783203125,independent,7.671911239624023,16,16.741589555551695,,1.0,independent,101,256,800
0.896484375,independent,0.7457065582275391,4,19.53698499785462,2.7250642355346404,1.0,independent,101,64,1600
0.80615234375,independent,1.3348596096038818,16,19.53698499785462,,1.0,independent,101,256,1600
0.93359375,independent,0.46039217710494995,4,23.086948781850452,3.140930471636218,1.0,independent,101,64,3200
0.90380859375,independent,0.6643573641777039,16,23.086948781850452,,1.0,independent,101,256,3200
0.970703125,independent,0.18877960741519928,4,27.112522191011767,0.7672018879409441,1.0,independent,101,64,6400
0.94873046875,independent,0.32918113470077515,16,27.112522191011767,,1.0,independent,101,256,6400
0.88037109375,independent,1.014142632484436,16,27.112522191011767,,1.0,independent,101,512,6400
0.490966796875,independent,6.046326160430908,32,27.112522191011767,,1.0,independent,101,1024,6400
0.0,independent,9.051582336425781,4,7.2305414576406655,0.011218153679136008,1.0,independent,102,64,0
0.0,independent,9.038522720336914,16,7.2305414576406655,,1.0,independent,102,256,0
0.03125,independent,7.552013397216797,4,11.612153779649221,0.17093866164133611,1.0,independent,102,64,200
0.00439453125,independent,8.09762954711914,16,11.612153779649221,,1.0,independent,102,256,200
0.060546875,independent,6.790421485900879,4,13.64297559482735,0.3665049467777395,1.0,independent,102,64,400
0.00537109375,independent,7.890695571899414,16,13.64297559482735,,1.0,independent,102,256,400
0.279296875,independent,5.424777030944824,4,16.61299904790591,2.391602328444814,1.0,independent,102,64,800
0.03857421875,independent,7.7511162757873535,16,16.61299904790591,,1.0,independent,102,256,800
0.837890625,independent,1.2230279445648193,4,18.969633078719138,3.252602722068462,1.0,independent,102,64,1600
0.6337890625,independent,2.3550233840942383,16,18.969633078719138,,1.0,independent,102,256,1600
0.93359375,independent,0.5941843390464783,4,22.06514683048538,2.207277591796206,1.0,independent,102,64,3200
0.9052734375,independent,0.6457103490829468,16,22.06514683048538,,1.0,independent,102,256,3200
0.98046875,independent,0.24890774488449097,4,25.832510518742225,2.0491682160419056,1.0,independent,102,64,6400
0.97021484375,independent,0.1712968647480011,16,25.832510518742225,,1.0,independent,102,256,6400
0.88427734375,independent,1.044219970703125,16,25.832510518742225,,1.0,independent,102,512,6400
0.451904296875,independent,6.784137725830078,32,25.832510518742225,,1.0,independent,102,1024,6400
0.0,independent,9.021900177001953,4,7.22571350059296,0.011315928804637757,1.0,independent,103,64,0
0.0,independent,9.030373573303223,16,7.22571350059296,,1.0,independent,103,256,0
0.03125,independent,7.481427192687988,4,11.60695087902895,0.12319660782717116,1.0,independent,103,64,200
0.005859375,independent,8.04259204864502,16,11.60695087902895,,1.0,independent,103,256,200
0.083984375,independent,6.720677852630615,4,13.964962063801693,0.3364016991951352,1.0,independent,103,64,400
0.0078125,independent,7.7803192138671875,16,13.964962063801693,,1.0,independent,103,256,400
0.142578125,independent,5.851718902587891,4,16.474442571260262,1.19783937243547,1.0,independent,103,64,800
0.015625,independent,7.615876197814941,16,16.474442571260262,,1.0,independent,103,256,800
0.861328125,independent,0.7926400303840637,4,19.28973132890168,3.300578903777955,1.0,independent,103,64,1600
0.6826171875,independent,1.934266448020935,16,19.28973132890168,,1.0,independent,103,256,1600
0.970703125,independent,0.1913876235485077,4,23.059604618094003,2.078287385274347,1.0,independent,103,64,3200
0.91357421875,independent,0.5852839350700378,16,23.059604618094003,,1.0,independent,103,256,3200
0.98828125,independent,0.08752518147230148,4,25.793093426692085,1.1846059854305744,1.0,independent,103,64,6400
0.9755859375,independent,0.13667559623718262,16,25.793093426692085,,1.0,independent,103,256,6400
0.89990234375,independent,0.9231387376785278,16,25.793093426692085,,1.0,independent,103,512,6400
0.443359375,independent,9.068469047546387,32,25.793093426692085,,1.0,independent,103,1024,6400
0.0,independent,9.038484573364258,4,7.255534263094078,0.011292458265156511,1.0,independent,104,64,0
