revision,revision_index,template_id,template_index,layer,role,site,site_kind,mean_squared_effect,mean_signed_effect,mean_absolute_effect,q90_absolute_effect,q99_absolute_effect,n_episode_rows,independent_pretraining_trajectories
step0,0,compact_cards,0,0,source_span_transmission,layers.0.resid_pre,resid_pre,0.001997438893652167,0.0008164230612027392,0.0333023601807832,0.07635180110529782,0.09213181364365786,256,1
step0,0,compact_cards,0,0,decision_receiver_accumulation,layers.0.attn_out,attn_out,0.0003715953005165476,0.002956141054213485,0.016166451701043798,0.03060744566686222,0.03918866721170671,256,1
step0,0,compact_cards,0,0,decision_receiver_accumulation,layers.0.mlp_out,mlp_out,0.0,0.0,0.0,0.0,0.0,256,1
step0,0,compact_cards,0,0,coherent_replay_gate,layers.0.resid_pre,resid_pre,0.0,0.0,0.0,0.0,0.0,256,1
step0,0,compact_cards,0,1,source_span_transmission,layers.1.resid_pre,resid_pre,0.0015940658737076975,0.005297734796186567,0.03492740973391464,0.05514618389572791,0.08420086116100088,256,1
step0,0,compact_cards,0,1,decision_receiver_accumulation,layers.1.attn_out,attn_out,0.0007938930968623302,0.01411756874788041,0.023266464871445753,0.04698499545681389,0.06193559218642347,256,1
step0,0,compact_cards,0,1,decision_receiver_accumulation,layers.1.mlp_out,mlp_out,0.00024747816973227455,-0.0023567200239324013,0.013265192089144671,0.023338635402854184,0.037190172475735375,256,1
step0,0,compact_cards,0,1,coherent_replay_gate,layers.1.resid_pre,resid_pre,0.0003715953005165476,0.002956141054213485,0.016166451701043798,0.03060744566686222,0.03918866721170671,256,1
step0,0,compact_cards,0,2,source_span_transmission,layers.2.resid_pre,resid_pre,0.0007091302063885143,-0.004408332256513125,0.023777998026548914,0.04089342733460761,0.05120416904720902,256,1
step0,0,compact_cards,0,2,decision_receiver_accumulation,layers.2.attn_out,attn_out,0.0007915095440303092,-0.013173746310859607,0.019860411090705396,0.047013217198267704,0.07466043306987748,256,1
step0,0,compact_cards,0,2,decision_receiver_accumulation,layers.2.mlp_out,mlp_out,0.000213724120806503,0.0018913620720382085,0.01175413297740219,0.02511095616764721,0.037884651529763815,256,1
step0,0,compact_cards,0,2,coherent_replay_gate,layers.2.resid_pre,resid_pre,0.0012548243002803668,0.017178041343937096,0.028814463824888156,0.053580218805812305,0.07328026668974684,256,1
step0,0,compact_cards,0,3,source_span_transmission,layers.3.resid_pre,resid_pre,0.0004178722128679077,-0.00045622382468557196,0.01793608310471395,0.027707648689507515,0.04264429833668777,256,1
step0,0,compact_cards,0,3,decision_receiver_accumulation,layers.3.attn_out,attn_out,0.0006225863566618415,-0.0019494305022565474,0.01567346063445376,0.047332217304168075,0.06588240167221705,256,1
step0,0,compact_cards,0,3,decision_receiver_accumulation,layers.3.mlp_out,mlp_out,0.0005084556326748356,0.0035839428588426377,0.020540649476260393,0.031214374561318994,0.04124047563635718,256,1
