revision,revision_index,template_id,template_index,layer,head,target_full_card_attention,distractor_full_card_attention,attention_selectivity,target_concept_attention,distractor_concept_attention,query_norm,target_key_rms,distractor_key_rms,target_value_rms,distractor_value_rms,pre_ov_receiver_norm,n_target_episode_rows,n_distractor_episode_slot_rows,independent_pretraining_trajectories
step0,0,compact_cards,0,0,0,0.13595808981055255,0.12399109638314415,0.011966993427408396,0.06707618560769911,0.05516750537595908,4.643596098912525,0.6072778308941641,0.610894607927804,0.620857122553521,0.6138802327833606,1.437586869141879,256,768,1
step0,0,compact_cards,0,0,1,0.13478316556514852,0.13406633388500203,0.0007168316801464958,0.06980249334390332,0.06926752590791545,5.285286585021346,0.6217287075257423,0.6196098580767525,0.6177252474856423,0.6192613781218101,1.5278690274761124,256,768,1
step0,0,compact_cards,0,0,2,0.13078510302089524,0.12737221631705795,0.003412886703837298,0.05286333289803782,0.04884999258178809,4.636850415362538,0.6433292650222386,0.640834909796446,0.622127847211815,0.6077959347059673,1.219011430435374,256,768,1
step0,0,compact_cards,0,0,3,0.15582024609059328,0.13952590054566816,0.01629434554492512,0.06967910725251104,0.05348294013057306,4.668076570433881,0.6462743302383531,0.6414521485772452,0.6069744931862988,0.5981789541056711,1.402474706803983,256,768,1
step0,0,compact_cards,0,0,4,0.14605203554787424,0.13889606478438754,0.007155970763486702,0.06823396169513928,0.06192899213166603,4.462262675780725,0.6644470991294866,0.6681175110184255,0.6003767386717087,0.6016442937477867,1.4059117890408142,256,768,1
step0,0,compact_cards,0,0,5,0.15088326893984783,0.13193965323261644,0.01894361570723138,0.08132506021956419,0.062163585866786296,4.404479067371611,0.6664500542202506,0.6631858174807186,0.6141738517674087,0.6099041195614241,1.4412750544972923,256,768,1
step0,0,compact_cards,0,0,6,0.14963155485868904,0.14519758612941933,0.0044339687292697105,0.06427980563562118,0.0598075602768682,4.983834588224228,0.6346730373231373,0.6422594806589702,0.6105317614283937,0.6140922454335509,1.5038388363573705,256,768,1
step0,0,compact_cards,0,0,7,0.1226125968387814,0.12154395093545041,0.0010686459033309864,0.056273768671084884,0.05509469277289133,4.599754264735953,0.6084765797568803,0.610161969227886,0.6256339138031171,0.6357833512267567,1.5805577298649682,256,768,1
step0,0,compact_cards,0,1,0,0.14170055426330297,0.13485387888780564,0.006846675375497324,0.05675699969034993,0.05078941290211248,5.03692031560893,0.6298550082448982,0.6343609842222019,0.6341710341935891,0.6303460293573497,2.3863139962144233,256,768,1
step0,0,compact_cards,0,1,1,0.13836912651094463,0.1318432616746076,0.00652586483633702,0.06355447069032841,0.056717748253111024,4.177745478560341,0.6399468521934643,0.6339634949578334,0.6263500913809271,0.6308256419015461,2.621960605370634,256,768,1
step0,0,compact_cards,0,1,2,0.15105734896967127,0.14446938205285795,0.00658796691681332,0.06403700674337587,0.05703195296253305,5.010303707280844,0.624818991175495,0.6283307790402809,0.6777365460958846,0.6787296253235487,2.665565315948961,256,768,1
step0,0,compact_cards,0,1,3,0.14067631227879307,0.12779284653323864,0.012883465745554434,0.06632542328758173,0.05340657369048793,5.487915114209963,0.6563255559869795,0.657627155962348,0.6320404696017285,0.6321820505363918,2.3757510265663235,256,768,1
step0,0,compact_cards,0,1,4,0.1485570277574094,0.145018380471856,0.0035386472855533924,0.05326106512860017,0.04940953062970168,5.372421401833769,0.6630311878928858,0.6610207912610452,0.6222640551184544,0.6152550258430843,2.522893472911835,256,768,1
step0,0,compact_cards,0,1,5,0.1406426672299274,0.13109891104980873,0.009543756180118684,0.06780195627872584,0.05768150679940489,5.008782384531356,0.6365764492749775,0.6391607005459049,0.6026594413877879,0.6017725683326768,2.315891720768704,256,768,1
step0,0,compact_cards,0,1,6,0.14811732812245287,0.13692146214035392,0.011195865982098957,0.06486945934577219,0.05385872138066575,5.258094985038416,0.6038464632677096,0.6013536756326632,0.6584297182818326,0.6605419572485776,2.577635173230804,256,768,1
