analysis_schema_version,run_key,run_label,seed,step,ritz_index,ritz_value
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,0,60.79920959472656
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,1,17.781686782836914
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,2,11.395017623901367
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,3,6.38500452041626
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,4,5.412225246429443
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,5,4.7292609214782715
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,6,3.1552951335906982
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,7,1.6776785850524902
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,8,0.379824161529541
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,9,-0.050817809998989105
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,10,-1.1909568309783936
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,11,-2.510256052017212
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,12,-3.554670810699463
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,13,-4.937478542327881
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,14,-5.779552459716797
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,15,-9.578164100646973
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,0,35.88587188720703
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,1,19.540674209594727
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,2,13.665467262268066
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,3,8.918057441711426
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,4,7.398991107940674
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,5,4.830509185791016
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,6,4.272866249084473
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,7,3.138458251953125
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,8,1.8494079113006592
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,9,0.9409659504890442
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,10,0.04530269280076027
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,11,-0.15299516916275024
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,12,-1.0437489748001099
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,13,-1.7753994464874268
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,14,-2.6471986770629883
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,15,-3.0230400562286377
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,0,27.41244125366211
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,1,14.028670310974121
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,2,8.430731773376465
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,3,7.846992015838623
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,4,6.0023112297058105
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,5,3.5484273433685303
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,6,1.6166490316390991
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,7,1.2140358686447144
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,8,0.7284877300262451
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,9,0.3063659071922302
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,10,0.0014295480214059353
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,11,-0.23173339664936066
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,12,-0.559638261795044
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,13,-1.153273582458496
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,14,-1.5929527282714844
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,15,-3.6544699668884277
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,0,28.183330535888672
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,1,3.7283809185028076
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,2,0.8910052180290222
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,3,0.6140608787536621
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,4,0.4195808172225952
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,5,0.20820295810699463
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,6,0.18923787772655487
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,7,0.14846506714820862
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,8,0.11163541674613953
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,9,0.06590060889720917
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,10,0.03372076526284218
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,11,0.006981430109590292
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,12,-0.0002947900502476841
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,13,-0.018438046798110008
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,14,-0.03638128191232681
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,15,-0.11485480517148972
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,0,133.6134490966797
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,1,26.778039932250977
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,2,22.54393196105957
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,3,19.323701858520508
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,4,14.04582405090332
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,5,10.602228164672852
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,6,5.351260185241699
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,7,0.3265151083469391
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,8,-0.6878935694694519
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,9,-5.712192535400391
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,10,-11.06055736541748
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,11,-17.094280242919922
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,12,-22.047161102294922
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,13,-24.428791046142578
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,14,-27.279666900634766
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,15,-35.96492004394531
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,50,0,40.23447799682617
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,50,1,9.338738441467285
